Id,Numberx`
32577974,3
32578254,3
32585068,3
39514793,3
39514795,3
39598461,3
39598462,3
39598464,3
39598465,3
39598469,3
39598470,3
39598471,3
39598472,3
39598473,3
39598474,3
39598475,3
39598476,3
39598490,3
39598491,3
39598492,3
39598493,3
39598494,3
39598509,3
39598510,3
39598511,3
39598512,3
39619621,3
39619622,3
39619625,3
39619626,3
39619627,3
39619628,3
39619633,3
39619635,3
39619643,3
39619645,3
39619647,3
39619649,3
39619652,3
39619654,3
39619656,3
39619657,3
39619659,3
39619660,3
39619665,3
39619666,3
39619667,3
39619670,3
39619672,3
39619673,3
39619674,3
39619677,3
39619678,3
39619679,3
39619680,3
39619681,3
39619682,3
39619684,3
39619685,3
39619686,3
39619687,3
39619688,3
39619689,3
39619734,3
39619735,3
39619736,3
39619873,3
39622162,3
39622163,3
39622164,3
39622165,3
39622166,3
39622167,3
39622168,3
39622169,3
39622171,3
39622172,3
39622173,3
39622174,3
39622175,3
39622176,3
39622177,3
39622178,3
39622179,3
39622180,3
39622181,3
39622182,3
39622183,3
39622184,3
39622185,3
39622186,3
39622189,3
39622190,3
39622191,3
39622193,3
39622194,3
39622195,3
39622196,3
39622197,3
39622198,3
39622205,3
39622206,3
39622207,3
39622208,3
39622209,3
39622210,3
39622211,3
39622212,3
39622213,3
39622214,3
39622215,3
39622216,3
39622217,3
39622218,3
39622221,3
39622222,3
39622223,3
39622224,3
39622225,3
39622226,3
39622227,3
39622229,3
39622230,3
39622232,3
39622233,3
39622234,3
39622237,3
39622238,3
39622240,3
39622241,3
39622242,3
39622243,3
39622244,3
39622245,3
39622246,3
39622247,3
39622248,3
39622250,3
39622251,3
39622252,3
39622253,3
39622255,3
39622257,3
39622258,3
39622259,3
39622260,3
39622263,3
39622264,3
39622267,3
39622268,3
39622269,3
39622270,3
39622273,3
39622274,3
39622278,3
39622280,3
39622281,3
39622282,3
39622283,3
39622284,3
39622285,3
39622286,3
39622287,3
39622290,3
39622295,3
39622296,3
39622300,3
39622301,3
39622303,3
39622304,3
39622305,3
39622306,3
39622307,3
39622308,3
39622313,3
39622314,3
39622315,3
39622316,3
39622317,3
39622318,3
39622319,3
39622320,3
39622321,3
39622322,3
39622323,3
39622324,3
39622325,3
39622326,3
39622327,3
39622328,3
39622334,3
39622339,3
39622340,3
39622341,3
39622342,3
39622343,3
